Tensâo (mV),Corrente (10⁻⁵ A)
0,-34
500,-30
1000,-40
1500,-30
1850,0
1900,84
1950,158
2000,275
2050,440
2100,704
2150,987
2200,1600
2250,2128
2300,3276
2350,5951
2400,11692
2450,25812
2500,59166
2550,133810
