Tensâo (mV),Corrente (10⁻⁵ A)
0,-34
500,-30
1000,-40
1500,-30
2100,0
2200,111
2250,338
2300,930
2350,1840
2400,5360
2450,15900
2500,46240
2550,100000
2600,196400
