Tensâo (mV),Corrente (10⁻⁵ A)
0,-30
1000,-30
1500,-30
2100,30
2150,125
2200,250
2250,870
2300,1710
2350,3600
2400,6078
2450,13870
2500,31450
2550,100390
2600,317694
