Tensâo (mV),Corrente (10⁻⁵ A)
0,-30
1000,-30
1550,-30
2150,30
2200,80
2250,160
2300,332
2350,560
2400,1338
2450,2270
2500,4690
2550,11199
2600,28845
2650,68351
2700,176440
