Tensâo (mV),Corrente (10⁻⁵ A)
0,-20
1000,-20
2000,-20
2300,0
2350,40
2400,156
2450,304
2500,701
2550,1818
2600,4282
2650,10449
2700,22480
2750,50257
2800,94867
2850,176540
