Tensâo (mV),Corrente (10⁻⁵ A),,,,,,
0,-50,,,,,,
1250,-50,,,,,,
1400,30,,50,100,250,500,750
1500,150,,,,,,
1550,295,,,,,,
1600,582,,,,,,
1650,1238,,,,,,
1700,3483,,,,,,
1750,6500,,,,,,
1800,15080,,,,,,
1850,31500,,,,,,
1900,80310,,,,,,
2000,443457,,,,,,
