Tensâo (mV),Corrente (10⁻⁵ A)
0,-30
1000,-30
1550,-30
2150,110
2200,190
2250,310
2300,530
2350,880
2400,1360
2450,2110
2500,3680
2550,5630
2600,9730
2650,14830
2700,22539
2750,40440
2800,64003
2850,89400
2900,153610
