Tensâo (mV),Corrente (10⁻⁵ A)
0,-34
500,-30
1000,-15
1300,0
1450,40
1550,225
1600,650
1650,1575
1700,4820
1750,15880
1800,53150
1850,155940
1900,327600
1950,970500
