Tensâo (mV),Corrente (10⁻⁵ A)
0,-34
500,-30
1000,-40
1500,-30
2300,0
2450,60
2500,149
2600,477
2650,850
2700,1925
2750,3525
2800,7256
2850,13090
2900,26890
2950,50667
3000,99786
