Tensâo (mV),Corrente (10⁻⁵ A)
0,-30
1000,-30
1550,-30
2150,30
2200,60
2250,120
2300,225
2350,414
2400,788
2450,1386
2500,2205
2550,3766
2600,6359
2650,10676
2700,19008
2750,27644
2800,53662
2850,81056
2900,127631
