Tensâo (mV),Corrente (10⁻⁵ A)
1635,84114
1650,94319
1665,108813
1680,125855
1700,156828
1720,201076
1740,255978
1760,331035
1780,428650
1800,551840
1850,994272
1900,1698800
1950,2488230
2000,3475430
