Tensâo (mV),Corrente (10⁻⁵ A)
0,-20
1000,-20
2000,-20
2150,30
2200,80
2250,163
2300,340
2350,600
2400,1069
2450,2058
2500,3652
2550,7311
2600,14448
2650,26133
2700,48069
2750,85170
2800,147133
