Tensâo (mV),Corrente (10⁻⁵ A)
0,-30
1000,-30
1550,30
1650,180
1700,330
1750,547
1800,960
1850,1564
1900,2716
1950,5074
2000,7780
2050,15450
2100,30100
2150,69120
2200,161690
