Tensâo (mV),Corrente (10⁻⁵ A)
0,-20
1000,-20
1350,0
1400,0
1450,90
1500,250
1550,1460
1600,4940
1650,16029
1700,31301
1750,78689
1800,149340
1850,337002
1900,685984
