V_fixo,I,u_I,R_cm,u_R_cm,e_over_m,u_e_over_m,diff_percent
61.0,2.004,0.001,3.0,0.5,278484364146.6359,92840207658.85881,58.33590722562521
61.0,1.459,0.001,4.0,0.5,295534504684.604,73901248822.37193,68.02998638398718
61.0,0.634,0.001,5.0,0.5,1001659779624.0824,200426817378.6478,469.50669537298967
61.0,0.312,0.001,6.0,0.5,2872281964380.7417,479308118750.8213,1533.0732679790901
169.8,1.745,0.001,7.0,0.5,187784468076.7285,26844034774.34728,6.767301664930605
169.8,1.539,0.001,8.0,0.5,184837206922.60114,23124817076.452168,5.091598003435703
169.8,1.347,0.001,9.0,0.5,190645430621.1675,21206664783.48512,8.393939129480545
169.8,1.208,0.001,10.0,0.5,192005090205.485,19227696731.595245,9.166991269986239
