I_fixo,V,u_V,R_cm,u_R_cm,e_over_m,u_e_over_m,diff_percent
1.494,41.4,0.1,3.0,0.5,340067839066.35114,113372716452.38744,93.34999285086097
1.494,63.4,0.1,4.0,0.5,292938872239.221,73252018045.4258,66.55420579816017
1.494,84.1,0.1,5.0,0.5,248693089265.04456,49756307876.669945,41.39769042397743
1.494,101.2,0.1,6.0,0.5,207819234984.99237,34654004294.23427,18.15832896441505
1.494,127.2,0.1,7.0,0.5,191910510777.46164,27434361179.787014,9.11321690607591
1.494,163.8,0.1,8.0,0.5,189208940350.09622,23671858376.618046,7.577203902754874
1.494,204.0,0.1,9.0,0.5,186188510921.99576,20710459783.762985,5.859899467460099
1.494,246.5,0.1,10.0,0.5,182232005064.90335,18247975008.39292,3.610376603776573
