ν (MHz),V_passiva (V),V_ativa (V),,"35,5"
"28,80","0,608","2,82",,
"30,07","0,648","2,91",,
"31,20","0,712","2,95",,
"32,01","0,776","2,98",,
"33,31","0,992","2,94",,
"34,25","1,290","2,63",,
"35,06","1,390","1,69",,
"35,10","1,400","1,59",,
"35,43","1,270","1,29",,
"35,67","1,290","1,46",,
"35,62","1,290","1,40",,
"35,90","1,310","1,83",,
"36,22","1,220","2,37",,
"36,70","0,920","2,96",,
"37,17","0,744","3,18",,
"37,91","0,504","3,39",,
