ν (MHz),I (A)
"28,6","0,23"
"29,5","0,24"
"30,5","0,25"
"31,4","0,26"
"32,4","0,26"
"33,5","0,27"
"34,5","0,29"
"35,6","0,30"
"36,8","0,31"
"37,8","0,31"
"38,7","0,32"
"40,0","0,33"
"43,9","0,36"
"46,5","0,39"
"50,3","0,42"
"53,2","0,44"
"57,9","0,49"
"60,4","0,51"
