ν (MHz),I (A)
"45,0","0,37"
"50,0","0,42"
"55,0","0,46"
"60,0","0,50"
"65,0","0,54"
"70,0","0,59"
"75,0","0,63"
"80,0","0,69"
"85,0","0,73"
"90,0","0,77"
