Volts,r,R,delta_r,delta_R
15,5.75,7.100000000000023,0.25,0.39999999999997726
16,5.75,7.050000000000011,0.25,0.44999999999998863
17,5.75,7.0,0.25,0.39999999999997726
18,5.699999999999989,6.949999999999989,0.19999999999998863,0.3499999999999659
19,5.699999999999989,6.949999999999989,0.19999999999998863,0.3499999999999659
20,5.699999999999989,6.949999999999989,0.19999999999998863,0.3499999999999659
21,5.699999999999989,6.949999999999989,0.19999999999998863,0.3499999999999659
22,5.699999999999989,6.699999999999989,0.19999999999998863,0.30000000000001137
23,5.649999999999977,6.649999999999977,0.14999999999997726,0.25
24,5.599999999999966,6.5499999999999545,0.19999999999998863,0.25
25,5.5,6.5499999999999545,0.10000000000002274,0.25
26,5.5,6.5,0.10000000000002274,0.20000000000004547
27,5.5,6.449999999999989,0.10000000000002274,0.1500000000000341
28,5.449999999999989,6.449999999999989,0.1500000000000341,0.1500000000000341
29,5.449999999999989,6.399999999999977,0.1500000000000341,0.10000000000002274
30,5.300000000000011,6.350000000000023,0.19999999999998863,0.14999999999997726
31,5.25,6.300000000000011,0.14999999999997726,0.19999999999998863
32,5.25,6.300000000000011,0.14999999999997726,0.19999999999998863
33,5.25,6.25,0.14999999999997726,0.25
34,5.199999999999989,6.199999999999989,0.0999999999999659,0.19999999999998863
35,5.199999999999989,6.199999999999989,0.0999999999999659,0.19999999999998863
36,5.199999999999989,6.149999999999977,0.0999999999999659,0.14999999999997726
37,5.199999999999989,6.149999999999977,0.0999999999999659,0.14999999999997726
38,5.199999999999989,6.0499999999999545,0.0999999999999659,0.25
39,5.149999999999977,5.9500000000000455,0.14999999999997726,0.25
40,5.149999999999977,5.9500000000000455,0.14999999999997726,0.25
41,5.149999999999977,5.9500000000000455,0.14999999999997726,0.25
42,5.100000000000023,5.9500000000000455,0.10000000000002274,0.25
43,5.100000000000023,5.9500000000000455,0.10000000000002274,0.25
44,5.100000000000023,5.900000000000034,0.10000000000002274,0.19999999999998863
45,5.050000000000011,5.850000000000023,0.05000000000001137,0.25
46,5.0,5.850000000000023,0.10000000000002274,0.25
47,5.0,5.850000000000023,0.10000000000002274,0.25
48,5.0,5.800000000000011,0.10000000000002274,0.19999999999998863
49,5.0,5.800000000000011,0.10000000000002274,0.19999999999998863
50,5.0,5.75,0.10000000000002274,0.25
