Volts,CM1,CM2,r1,R1,r2,R2
15,605.0,629.0,1.5,2.700000000000001,2.0000000000000004,3.5000000000000018
16,605.0,629.0,1.5,2.600000000000001,2.0000000000000004,3.5000000000000018
17,605.0,629.0,1.5,2.600000000000001,2.0000000000000004,3.4000000000000017
18,605.0,629.0,1.5,2.600000000000001,1.9000000000000004,3.3000000000000016
19,605.0,629.0,1.5,2.600000000000001,1.9000000000000004,3.3000000000000016
20,605.0,629.0,1.5,2.600000000000001,1.9000000000000004,3.3000000000000016
21,605.0,629.0,1.5,2.600000000000001,1.9000000000000004,3.3000000000000016
22,605.0,629.0,1.5,2.400000000000001,1.9000000000000004,3.0000000000000013
23,605.0,629.0,1.5,2.400000000000001,1.8000000000000003,2.9000000000000012
24,605.0,629.0,1.4,2.3000000000000007,1.8000000000000003,2.800000000000001
25,605.0,629.0,1.4,2.3000000000000007,1.6,2.800000000000001
26,605.0,629.0,1.4,2.3000000000000007,1.6,2.700000000000001
27,605.0,629.0,1.4,2.3000000000000007,1.6,2.600000000000001
28,605.0,629.0,1.2999999999999998,2.3000000000000007,1.6,2.600000000000001
29,605.0,629.0,1.2999999999999998,2.3000000000000007,1.6,2.500000000000001
30,605.0,629.0,1.0999999999999996,2.2000000000000006,1.5,2.500000000000001
31,605.0,629.0,1.0999999999999996,2.1000000000000005,1.4,2.500000000000001
32,605.0,629.0,1.0999999999999996,2.1000000000000005,1.4,2.500000000000001
33,605.0,629.0,1.0999999999999996,2.0000000000000004,1.4,2.500000000000001
34,605.0,629.0,1.0999999999999996,2.0000000000000004,1.2999999999999998,2.400000000000001
35,605.0,629.0,1.0999999999999996,2.0000000000000004,1.2999999999999998,2.400000000000001
36,605.0,629.0,1.0999999999999996,2.0000000000000004,1.2999999999999998,2.3000000000000007
37,605.0,629.0,1.0999999999999996,2.0000000000000004,1.2999999999999998,2.3000000000000007
38,605.0,629.0,1.0999999999999996,1.8000000000000003,1.2999999999999998,2.3000000000000007
39,605.0,629.0,0.9999999999999997,1.7000000000000002,1.2999999999999998,2.2000000000000006
40,605.0,629.0,0.9999999999999997,1.7000000000000002,1.2999999999999998,2.2000000000000006
41,605.0,629.0,0.9999999999999997,1.7000000000000002,1.2999999999999998,2.2000000000000006
42,605.0,629.0,0.9999999999999997,1.7000000000000002,1.1999999999999997,2.2000000000000006
43,605.0,629.0,0.9999999999999997,1.7000000000000002,1.1999999999999997,2.2000000000000006
44,605.0,629.0,0.9999999999999997,1.7000000000000002,1.1999999999999997,2.1000000000000005
45,605.0,629.0,0.9999999999999997,1.6,1.0999999999999996,2.1000000000000005
46,605.0,629.0,0.8999999999999997,1.6,1.0999999999999996,2.1000000000000005
47,605.0,629.0,0.8999999999999997,1.6,1.0999999999999996,2.1000000000000005
48,605.0,629.0,0.8999999999999997,1.6,1.0999999999999996,2.0000000000000004
49,605.0,629.0,0.8999999999999997,1.6,1.0999999999999996,2.0000000000000004
50,605.0,629.0,0.8999999999999997,1.5,1.0999999999999996,2.0000000000000004
