Volts,r,R,delta_r,delta_R,lambda_tension,lambda_tension_uncertainty,lambda_d1,lambda_d1_uncertainty,lambda_d2,lambda_d2_uncertainty
5.0,0.1164,0.1944,0.0083749999999999,0.017875,5.477225575051661,0.05477225575051662,5.509599999999999,0.41569907784327503,5.313599999999999,0.5045025272593895
4.5,0.12025,0.21265,0.01325,0.017125,5.773502691896258,0.06415002990995843,5.691833333333332,0.6403519399592712,5.812433333333333,0.4878716424831758
4.0,0.125,0.22125,0.0094999999999999,0.01375,6.123724356957945,0.07654655446197432,5.916666666666666,0.4693176919975887,6.0474999999999985,0.4021547326743098
3.5,0.13765,0.23725,0.0123749999999999,0.01525,6.546536707079771,0.09352195295828246,6.515433333333332,0.6041540664161831,6.484833333333333,0.44418082507410384
3.0,0.1503999999999999,0.26375,0.014375,0.01375,7.0710678118654755,0.11785113019775793,7.118933333333327,0.6993644661244259,7.209166666666666,0.4127362153609827
