Volts,r,R,delta_r,delta_R,V_real,lambda_tension,lambda_tension_uncertainty,lambda_d1,lambda_d1_uncertainty,lambda_d2,lambda_d2_uncertainty
15,26.772,33.0576000000001,1.164,1.8623999999998937,1.5,10.0,0.3333333333333333,4.224026666666665,0.1873521463483363,3.0119146666666756,0.17288865906348336
16,26.772,32.82480000000005,1.164,2.095199999999947,1.6,9.682458365518542,0.30257682392245444,4.224026666666665,0.1873521463483363,2.990704000000005,0.1937092081489108
17,26.772,32.592,1.164,1.8623999999998937,1.7,9.393364366277241,0.27627542253756593,4.224026666666665,0.1873521463483363,2.9694933333333333,0.17279986724691518
18,26.539199999999944,32.359199999999944,0.9311999999999468,1.6295999999998412,1.8,9.128709291752768,0.2535752581042436,4.187295999999991,0.15144235835480194,2.9482826666666613,0.15197442062858166
19,26.539199999999944,32.359199999999944,0.9311999999999468,1.6295999999998412,1.9,8.885233166386385,0.23382192543122068,4.187295999999991,0.15144235835480194,2.9482826666666613,0.15197442062858166
20,26.539199999999944,32.359199999999944,0.9311999999999468,1.6295999999998412,2.0,8.660254037844387,0.2165063509461097,4.187295999999991,0.15144235835480194,2.9482826666666613,0.15197442062858166
21,26.539199999999944,32.359199999999944,0.9311999999999468,1.6295999999998412,2.1,8.451542547285166,0.2012272035067897,4.187295999999991,0.15144235835480194,2.9482826666666613,0.15197442062858166
22,26.539199999999944,31.195199999999947,0.9311999999999468,1.3968000000000527,2.2,8.257228238447704,0.18766427814653872,4.187295999999991,0.15144235835480194,2.842229333333328,0.1310470786143241
23,26.306399999999893,30.962399999999892,0.6983999999998939,1.164,2.3,8.075728530872484,0.17555931588853227,4.150565333333315,0.11604843963840095,2.8210186666666566,0.11049882266540532
24,26.07359999999984,30.496799999999787,0.9311999999999468,1.164,2.4,7.905694150420948,0.16470196146710311,4.113834666666641,0.15128743021808863,2.7785973333333134,0.11036872160916324
25,25.607999999999997,30.496799999999787,0.46560000000010565,1.164,2.5,7.745966692414834,0.15491933384829668,4.040373333333332,0.08156048557479578,2.7785973333333134,0.11036872160916324
26,25.607999999999997,30.264,0.46560000000010565,0.9312000000002113,2.6,7.5955452531275,0.14606817794475963,4.040373333333332,0.08156048557479578,2.7573866666666667,0.09010004996037786
