Tensão (V),diametro1,diametro2,r
"5,0","21,60","24,95","23,28"
"4,5","21,40","26,70","24,05"
"4,1","23,10","26,90","25,00"
"3,5","25,05","30,00","27,53"
"3,0","27,20","32,95","30,08"
